,Inter_No,Intersection,long,lat,Address,Grid_ID,X,Y
92,92,2519,120.7082334,31.33013432," '九华路, 星湖社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国'",19,1,4
93,93,2542,120.6562555,31.32262205,"'香樟公寓, 星明街, 苏州工业园区, 师惠社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215001, 中国',",30,2,0
94,94,2599,120.6730022,31.29539816," '高和路, 大湖城邦商业街, 高尔夫社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",61,4,1
95,95,2703,120.7068681,31.32097004," '棒约翰, 右岸街, 时代广场南社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",34,2,4
96,96,2725,120.7362234,31.32178787," '荆梁街, 第五元素社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",36,2,6
97,97,2741,120.7510965,31.34382057," '钟南街, 苏州工业园区, 水墨社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215121, 中国',",8,0,8
98,98,2766,120.752463,31.31108397," '中新大道东（在建）, 中新大道东, 锦溪社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国'",53,3,8
99,99,2959,120.7202707,31.29935715," '星湖街, 邻瑞社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215028, 中国',",65,4,5
100,100,2963,120.7281132,31.34024517," '苏虹中路, 苏州工业园区, Z43, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",6,0,6
101,101,2989,120.7132471,31.32488014," '时韵街, 时代广场北社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215021, 中国',",19,1,4
102,102,3050,120.7616764,31.31151459," '中新大道东, 凤凰城社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国',",54,3,9
103,103,3077,120.7339311,31.29358572," '金鸡湖大道, 金星苑社区, 月亮湾社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国'",66,4,6
104,104,3106,120.6552405,31.32723268,"'苏虹西路, 苏州工业园区, 东方社区, 湖西社工委, 娄葑街道, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 21500, 中国',",15,1,0
105,105,3217,120.7361133,31.32901674," '津梁街北, 现代大道, 苏州工业园区, 时代上城南社区, 东沙湖社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215024, 中国'",21,1,6
106,106,3291,120.6563522,31.32205596,"'华庭苑, 星明街, 苏州工业园区, 师惠社区, 湖西社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215001, 中国',",30,2,0
107,107,3393,120.7146443,31.2926423," '塘浦路, 双湖湾社区, 湖东社工委, 苏州工业园区直属镇, 苏州工业园区, 姑苏区, 苏州市, 江苏省, 215123, 中国'",80,5,5
